ID,Donations,Volunteering,Appeal1,Appeal2,Appeal3
1,11137.51,3.0,0.0,0.0,0.0
2,64737.03,16.0,7.0,0.0,0.7771686504105152
3,7140.81,2.0,1.0,-0.0,0.7964409067546538
4,8601.0,1.0,-0.0,1.0,0.3742954100966611
5,5699.45,2.0,2.0,0.0,1.0913520211822862
6,15301.12,3.0,1.0,-0.0,0.007265313105127014
7,2097.35,0.0,-0.0,0.0,1.712173042586027
8,22470.08,6.0,2.0,0.0,0.06740479349218875
9,222.62,0.0,0.0,-0.0,2.325894736120801
10,7576.5,-0.0,3.0,0.0,1.4105242716287685
11,67.43,-0.0,0.0,-0.0,0.3674386088912157
12,6453.74,1.0,2.0,0.0,0.8275540233868157
13,16657.34,4.0,1.0,0.0,0.0
14,8189.26,3.0,1.0,0.0,0.7405760510650028
15,42722.95,13.0,2.0,0.0,0.15587776240982243
16,3872.61,0.0,-0.0,0.0,0.1072098741898937
17,8592.59,-0.0,1.0,-0.0,2.6871251181032294
18,1.18,0.0,-0.0,-0.0,1.57355317068532
19,179.45,1.0,0.0,-0.0,1.4658402637345005
20,803.65,0.0,0.0,2.0,1.3945319874161615
21,11469.45,3.0,1.0,-0.0,1.7953439617032974
22,74869.26,19.0,8.0,0.0,1.7890630891310382
23,119214.7,31.0,12.0,0.0,2.314534109823405
24,15137.1,4.0,3.0,-0.0,0.7267770790601034
25,7335.52,3.0,1.0,0.0,1.5168723594108915
26,174.81,1.0,-0.0,-0.0,1.9865345400657894
27,9034.86,2.0,1.0,0.0,0.9908359722445783
28,9728.08,0.0,1.0,0.0,0.0
29,3843.03,1.0,0.0,-0.0,1.0023923208562497
30,21766.11,5.0,4.0,0.0,1.7300484194121015
31,5930.99,-0.0,1.0,0.0,0.6642204329017802
32,67.7,0.0,-0.0,0.0,0.0
33,243.41,0.0,0.0,2.0,2.6510426956814355
34,5735.86,0.0,1.0,0.0,0.63664164846544
35,426.06,1.0,0.0,-0.0,0.09214236212582283
36,31240.37,7.0,3.0,0.0,0.9970472518789755
37,974.15,0.0,-0.0,1.0,0.8227301190885531
38,8195.08,3.0,1.0,0.0,0.7746678037765703
39,15649.62,4.0,4.0,0.0,1.000912449764517
40,1183.04,0.0,2.0,0.0,1.517497920708626
41,8794.99,3.0,0.0,0.0,1.5646830201933222
42,16398.64,3.0,2.0,0.0,0.9827881317073818
43,4662.26,-0.0,2.0,1.0,1.475986491564879
44,35599.36,9.0,3.0,0.0,1.228636477592902
45,25662.79,8.0,3.0,0.0,0.37061238732686763
46,21470.79,5.0,2.0,0.0,1.6548943834485792
47,839.7,1.0,-0.0,1.0,2.527545889025166
48,741.7,1.0,0.0,1.0,0.9215586368470818
49,7061.94,3.0,0.0,0.0,2.62454759485998
50,17146.69,1.0,2.0,0.0,2.2621650786996508
51,2174.03,1.0,1.0,-0.0,0.7686249251783157
52,0.1,0.0,0.0,0.0,0.6728333315203417
53,21690.55,7.0,2.0,0.0,0.5556302677158296
54,26842.17,6.0,4.0,0.0,1.9837413979733145
55,27258.7,6.0,3.0,0.0,0.1644475383828672
56,13.6,0.0,0.0,0.0,1.2047185894307002
57,5394.32,3.0,2.0,0.0,0.0
58,9703.4,3.0,0.0,-0.0,1.9169062936484118
59,3112.62,0.0,0.0,0.0,0.1515267439985557
60,839.36,0.0,0.0,0.0,3.209403658967352
61,2315.39,1.0,0.0,1.0,1.506003937092696
62,16625.3,3.0,2.0,0.0,1.3535992395311696
63,5474.35,3.0,2.0,0.0,0.2783872962619115
64,8202.77,2.0,0.0,0.0,1.4047893126212208
65,23040.67,7.0,1.0,0.0,0.2645816960919779
66,18943.41,4.0,2.0,0.0,1.4540020765094726
67,4922.66,2.0,1.0,1.0,0.8022070180026151
68,11897.2,3.0,1.0,0.0,0.820452375188056
69,3759.98,0.0,0.0,1.0,1.5317136499254014
70,1712.44,0.0,1.0,0.0,0.04308046571425295
71,305.02,0.0,1.0,0.0,1.0573976313281908
72,9214.26,3.0,-0.0,0.0,1.3549219590877555
